"original","country","type","idREZE","department","apYear","apSerie","apID","date","journal"
"Guinée, NAT, 2020X 035311, 093","Guinée","NAT","2020X035311",93,"2020X","035","311",2021-08-05,"0180"
"Maroc, NAT, 2020X 021494, 075","Maroc","NAT","2020X021494",75,"2020X","021","494",2021-08-05,"0180"
"Mauritanie, NAT, 2020X 033597, 091","Mauritanie","NAT","2020X033597",91,"2020X","033","597",2021-08-05,"0180"
"Russie, NAT, 2020X 030036, 075","Russie","NAT","2020X030036",75,"2020X","030","036",2021-08-05,"0180"
"Colombie, NAT, 2021X 006328, 078","Colombie","NAT","2021X006328",78,"2021X","006","328",2021-08-05,"0180"
"Tunisie, NAT, 2020X 034201, 092","Tunisie","NAT","2020X034201",92,"2020X","034","201",2021-08-05,"0180"
"92200, EFF, 2020X 034201, 092","France","EFF","2020X034201",92,"2020X","034","201",2021-08-05,"0180"
"Tunisie, NAT, 2021X 004409, 075","Tunisie","NAT","2021X004409",75,"2021X","004","409",2021-08-05,"0180"
"Algérie, NAT, 2021X 303529, 059","Algérie","NAT","2021X303529",59,"2021X","303","529",2021-08-05,"0180"
"Maroc, NAT, 2020X 034413, 006","Maroc","NAT","2020X034413",6,"2020X","034","413",2021-08-05,"0180"
"République centrafricaine, NAT,  2021X 005463, 092","République centrafricaine","NAT","2021X005463",92,"2021X","005","463",2021-08-05,"0180"
"92160, EFF, 2021X 005463, 092","France","EFF","2021X005463",92,"2021X","005","463",2021-08-05,"0180"
"92160, EFF, 2021X 005463, 092","France","EFF","2021X005463",92,"2021X","005","463",2021-08-05,"0180"
"Algérie, NAT, 2020X 016196, 078","Algérie","NAT","2020X016196",78,"2020X","016","196",2021-08-05,"0180"
"78150, EFF, 2020X 016196, 078","France","EFF","2020X016196",78,"2020X","016","196",2021-08-05,"0180"
"Tunisie, NAT, 2021X 303960, 094","Tunisie","NAT","2021X303960",94,"2021X","303","960",2021-08-05,"0180"
"Algérie, NAT, 2021X 303028, 059","Algérie","NAT","2021X303028",59,"2021X","303","028",2021-08-05,"0180"
"Algérie, NAT, 2021X 006181, 031","Algérie","NAT","2021X006181",31,"2021X","006","181",2021-08-05,"0180"
"Algérie, NAT, 2021X 302411, 078","Algérie","NAT","2021X302411",78,"2021X","302","411",2021-08-05,"0180"
"Maroc, NAT, 2021X 006012, 075","Maroc","NAT","2021X006012",75,"2021X","006","012",2021-08-05,"0180"
"Maroc, NAT, 2021X 006411, 092","Maroc","NAT","2021X006411",92,"2021X","006","411",2021-08-05,"0180"
"Maroc, NAT, 2021X 303986, 084","Maroc","NAT","2021X303986",84,"2021X","303","986",2021-08-05,"0180"
"Tunisie, NAT, 2021X 304052, 094","Tunisie","NAT","2021X304052",94,"2021X","304","052",2021-08-05,"0180"
"Tunisie, NAT, 2021X 303865, 069","Tunisie","NAT","2021X303865",69,"2021X","303","865",2021-08-05,"0180"
"Tunisie, NAT, 2021X 006862, 075","Tunisie","NAT","2021X006862",75,"2021X","006","862",2021-08-05,"0180"
"Tunisie, NAT, 2021X 303941, 094","Tunisie","NAT","2021X303941",94,"2021X","303","941",2021-08-05,"0180"
"Tunisie, NAT, 2021X 001711, 092","Tunisie","NAT","2021X001711",92,"2021X","001","711",2021-08-05,"0180"
"Tunisie, NAT, 2020X 025164, 069","Tunisie","NAT","2020X025164",69,"2020X","025","164",2021-08-05,"0180"
"92150, EFF, 2020X 031556, 092","France","EFF","2020X031556",92,"2020X","031","556",2021-08-05,"0180"
"Tunisie, NAT, 2021X 302915, 014","Tunisie","NAT","2021X302915",14,"2021X","302","915",2021-08-05,"0180"
"Tunisie, EFF, 2021X 302915, 014","Tunisie","EFF","2021X302915",14,"2021X","302","915",2021-08-05,"0180"
"Tunisie, EFF, 2021X 302915, 014","Tunisie","EFF","2021X302915",14,"2021X","302","915",2021-08-05,"0180"
"Tunisie, NAT, 2019X 034956, 037","Tunisie","NAT","2019X034956",37,"2019X","034","956",2021-08-05,"0180"
"Tunisie, NAT, 2020X 030611, 063","Tunisie","NAT","2020X030611",63,"2020X","030","611",2021-08-05,"0180"
"64000, EFF, 2021X 005836, 076","France","EFF","2021X005836",76,"2021X","005","836",2021-08-05,"0180"
"Tunisie, NAT, 2021X 005836, 076","Tunisie","NAT","2021X005836",76,"2021X","005","836",2021-08-05,"0180"
"Allemagne, NAT, 2020X 110758, 014","Allemagne","NAT","2020X110758",14,"2020X","110","758",2021-08-05,"0180"
"Allemagne, EFF, 2020X 110757, 014","Allemagne","EFF","2020X110757",14,"2020X","110","757",2021-08-05,"0180"
"Maroc, NAT, 2020X 110757, 014","Maroc","NAT","2020X110757",14,"2020X","110","757",2021-08-05,"0180"
"Tunisie, NAT, 2021X 006413, 092","Tunisie","NAT","2021X006413",92,"2021X","006","413",2021-08-05,"0180"
"Maroc, NAT, 2021X 000195, 001","Maroc","NAT","2021X000195",1,"2021X","000","195",2021-08-05,"0180"
