"","original","country","type","idREZE","department","apYear","apSerie","apID","date","journal","filename","processDate"
"1918","Royaume-Uni, NAT, 2021X 301316, 024","Royaume-Uni","NAT","2021X301316","024","2021","301","316","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1919","Italie, NAT, 2020X 030592, 037","Italie","NAT","2020X030592","037","2020","030","592","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1920","Venezuela, NAT, 2020X 031729, 092","Venezuela","NAT","2020X031729","092","2020","031","729","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1921","Allemagne, NAT, 2020X 033604, 034","Allemagne","NAT","2020X033604","034","2020","033","604","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1922","59800, EFF, 2020X 028276, 059","France","EFF","2020X028276","059","2020","028","276","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1923","Sénégal, EFF, 2020X 033972, 038","Sénégal","EFF","2020X033972","038","2020","033","972","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1924","Guinée, NAT, 2020X 033576, 091","Guinée","NAT","2020X033576","091","2020","033","576","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1925","Guinée, EFF, 2020X 028276, 059","Guinée","EFF","2020X028276","059","2020","028","276","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1926","Mali, NAT, 2020X 031576, 091","Mali","NAT","2020X031576","091","2020","031","576","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1927","75018, EFF, 2020X 027615, 092","France","EFF","2020X027615","092","2020","027","615","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1928","92110, EFF, 2020X 027615, 092","France","EFF","2020X027615","092","2020","027","615","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1929","Guinée, NAT, 2020X 027615, 092","Guinée","NAT","2020X027615","092","2020","027","615","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1930","Sénégal, NAT, 2020X 031536, 093","Sénégal","NAT","2020X031536","093","2020","031","536","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1931","Sénégal, NAT, 2020X 033972, 038","Sénégal","NAT","2020X033972","038","2020","033","972","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1932","Albanie, NAT, 2020X 029575, 066","Albanie","NAT","2020X029575","066","2020","029","575","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1933","Belgique, NAT, 2021X 301499,  059","Belgique","NAT","2021X301499","059","2021","301","499","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1934","Côte d’Ivoire, EFF, 2020X 022747,  075","Côte d’Ivoire","EFF","2020X022747","075","2020","022","747","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1935","Suisse, NAT, 2020X 033518, 068","Suisse","NAT","2020X033518","068","2020","033","518","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1936","Haïti, EFF, 2021X 300524, 092","Haïti","EFF","2021X300524","092","2021","300","524","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1937","Haïti, NAT, 2021X 300524, 092","Haïti","NAT","2021X300524","092","2021","300","524","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1938","Haïti, NAT, 2021X 302848, 094","Haïti","NAT","2021X302848","094","2021","302","848","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1939","Colombie, NAT, 2020X 033249,  038","Colombie","NAT","2020X033249","038","2020","033","249","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1940","Venezuela, NAT, 2020X 019279,  069","Venezuela","NAT","2020X019279","069","2020","019","279","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1941","94190, NAT, 2021X 009172,  094","France","NAT","2021X009172","094","2021","009","172","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1942","Monténégro, NAT, 2020X 024077, 014","Monténégro","NAT","2020X024077","014","2020","024","077","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1943","Roumanie, NAT, 2021X 000620, 075","Roumanie","NAT","2021X000620","075","2021","000","620","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1944","Tunisie, NAT, 2020X 029760, 067","Tunisie","NAT","2020X029760","067","2020","029","760","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
